Date,Gold_USD,GBP_to_USD,Gold_GBP
2025-01-27,2737.5,1.2459352016448975,2197.1447603261568
2025-01-28,2766.800048828125,1.2460592985153198,2220.440112380501
2025-01-29,2769.10009765625,1.2441680431365967,2225.6640595552026
2025-01-30,2823.0,1.245530128479004,2266.504788163852
2025-01-31,2812.5,1.2423903942108154,2263.7811859343465
2025-02-03,2833.89990234375,1.2291958332061768,2305.490976935659
2025-02-04,2853.300048828125,1.2431780099868774,2295.1661193381656
2025-02-05,2871.60009765625,1.2478163242340088,2301.300313104195
2025-02-06,2856.0,1.2504063844680786,2284.0574356271695
2025-02-07,2867.300048828125,1.2437502145767212,2305.3664756986095
2025-02-10,2914.300048828125,1.2391574382781982,2351.8400154846563
2025-02-11,2912.5,1.2360633611679077,2356.2707960602384
2025-02-12,2909.0,1.245159387588501,2336.247093341084
2025-02-13,2925.89990234375,1.2450664043426514,2349.9950622220153
2025-02-14,2883.60009765625,1.2563445568084717,2295.230302888837
2025-02-18,2931.60009765625,1.262148141860962,2322.7068205589408
2025-02-19,2919.39990234375,1.2625784873962402,2312.2522136142993
2025-02-20,2940.0,1.2584155797958374,2336.2711390437325
2025-02-21,2937.60009765625,1.2670401334762573,2318.474387702808
2025-02-24,2947.89990234375,1.2649900913238525,2330.373907718659
2025-02-25,2904.5,1.261781930923462,2301.9033073918563
2025-02-26,2916.800048828125,1.2674431800842285,2301.3260828262833
2025-02-27,2883.199951171875,1.2682307958602905,2273.403201202103
2025-02-28,2836.800048828125,1.259890079498291,2251.6250385571616
2025-03-03,2890.199951171875,1.260398268699646,2293.0846724771345
2025-03-04,2909.60009765625,1.270147681236267,2290.7573195144223
2025-03-05,2915.300048828125,1.2794268131256104,2278.598524683185
2025-03-06,2916.60009765625,1.2891913652420044,2262.348458336712
2025-03-07,2904.699951171875,1.2885303497314453,2254.2736007555204
2025-03-10,2891.0,1.2932428121566772,2235.465739940067
2025-03-11,2912.89990234375,1.2875481843948364,2262.361857713969
2025-03-12,2939.10009765625,1.294481635093689,2270.4841984440595
2025-03-13,2984.300048828125,1.2964283227920532,2301.9398730822127
2025-03-14,2994.5,1.2958402633666992,2310.8558088942564
2025-03-17,3000.0,1.2930588722229004,2320.0799781395053
2025-03-18,3035.10009765625,1.2985326051712036,2337.3306804691983
2025-03-19,3035.89990234375,1.3000519275665283,2335.2143387275523
2025-03-20,3040.0,1.3010668754577637,2336.543998885849
2025-03-21,3018.199951171875,1.2967981100082397,2327.424699248442
2025-03-24,3013.10009765625,1.2924572229385376,2331.2958016557404
2025-03-25,3023.699951171875,1.2924238443374634,2339.5575409875833
2025-03-26,3020.89990234375,1.2943308353424072,2333.9472566491004
2025-03-27,3060.199951171875,1.2877637147903442,2376.367586712205
2025-03-28,3086.5,1.295202612876892,2383.024840526143
2025-03-31,3122.800048828125,1.2938284873962402,2413.6120662427143
2025-04-01,3118.89990234375,1.292089819908142,2413.84140195879
2025-04-02,3139.89990234375,1.292306900024414,2429.6859378251647
2025-04-03,3097.0,1.3046314716339111,2373.85044538389
2025-04-04,3012.0,1.308866262435913,2301.2282357972986
2025-04-07,2951.300048828125,1.2910722494125366,2285.9294281718353
2025-04-08,2968.39990234375,1.2734960317611694,2330.906283420946
2025-04-09,3056.5,1.2790995836257935,2389.571569819378
2025-04-10,3155.199951171875,1.2825446128845215,2460.10931664641
2025-04-11,3222.199951171875,1.2992074489593506,2480.127368229622
2025-04-14,3204.800048828125,1.3085237741470337,2449.172198584765
2025-04-15,3218.699951171875,1.3174536228179932,2443.1220161565716
2025-04-16,3326.60009765625,1.323101282119751,2514.244481969421
2025-04-17,3308.699951171875,1.3233989477157593,2500.15307695599
2025-04-22,3400.800048828125,1.3379716873168945,2541.757857109764
2025-04-23,3276.300048828125,1.327316164970398,2468.3644600238813
2025-04-24,3332.0,1.326453447341919,2511.9615065850953
2025-04-25,3282.39990234375,1.3326226472854614,2463.1128016846815
2025-04-28,3332.5,1.3290096521377563,2507.5062431936162
2025-04-29,3318.800048828125,1.3436164855957031,2470.05011058398
2025-04-30,3305.0,1.3410794734954834,2464.432619631122
2025-05-01,3210.0,1.3323917388916016,2409.201367962815
2025-05-02,3231.89990234375,1.3286387920379639,2432.489493541299
2025-05-05,3311.300048828125,1.3271929025650024,2494.9651572341395
2025-05-06,3411.39990234375,1.3292568922042847,2566.3962491754937
2025-05-07,3381.39990234375,1.335594892501831,2531.755640372153
2025-05-08,3296.60009765625,1.3294159173965454,2479.735690326417
2025-05-09,3335.39990234375,1.323539137840271,2520.0614073161446
2025-05-12,3220.0,1.3289036750793457,2423.0499624494914
2025-05-13,3240.300048828125,1.3177834749221802,2458.901716778226
2025-05-14,3181.39990234375,1.3304418325424194,2391.2356215259906
2025-05-15,3220.699951171875,1.3263479471206665,2428.2466438490796
2025-05-16,3182.0,1.3306896686553955,2391.2412299820994
2025-05-19,3228.89990234375,1.3305498361587524,2426.741046893413
2025-05-20,3280.300048828125,1.3360053300857544,2455.3046121586744
2025-05-21,3309.300048828125,1.3397821187973022,2470.0285235921965
2025-05-22,3292.300048828125,1.3419036865234375,2453.4548059538565
2025-05-23,3363.60009765625,1.3419216871261597,2506.5546893870446
2025-05-27,3299.10009765625,1.3565207719802856,2432.0306520925105
2025-05-28,3293.60009765625,1.3513330221176147,2437.297130869335
2025-05-29,3317.10009765625,1.3431472778320312,2469.6473368209986
2025-05-30,3288.89990234375,1.3498992919921875,2436.403902019962
2025-06-02,3370.60009765625,1.346728801727295,2502.8053854147674
2025-06-03,3350.199951171875,1.3556748628616333,2471.24147754727
2025-06-04,3373.5,1.353143334388733,2493.0840024600498
2025-06-05,3350.699951171875,1.3552155494689941,2472.4479825255544
2025-06-06,3322.699951171875,1.3579576015472412,2446.8362984131677
2025-06-09,3332.10009765625,1.3538211584091187,2461.2557404345903
2025-06-10,3320.89990234375,1.3556748628616333,2449.628589655938
2025-06-11,3321.300048828125,1.3508219718933105,2458.7252191145476
2025-06-12,3380.89990234375,1.3567416667938232,2491.9260498082185
2025-06-13,3431.199951171875,1.3627691268920898,2517.814561148018
2025-06-16,3396.39990234375,1.3557006120681763,2505.272825068954
2025-06-17,3386.60009765625,1.3565576076507568,2496.4661128701023
2025-06-18,3389.800048828125,1.3430029153823853,2524.0451900753824
2025-06-20,3368.10009765625,1.3476725816726685,2499.197611838271
2025-06-23,3377.699951171875,1.3435983657836914,2513.9208540207896
2025-06-24,3317.39990234375,1.3545364141464233,2449.1035218379475
2025-06-25,3327.10009765625,1.361488938331604,2443.72172552011
2025-06-26,3333.5,1.369187831878662,2434.6549993992467
2025-06-27,3273.699951171875,1.37247633934021,2385.250555755037
2025-06-30,3294.39990234375,1.3719680309295654,2401.2220606275037
2025-07-01,3336.699951171875,1.3730605840682983,2430.1185176297377
2025-07-02,3348.0,1.374721646308899,2435.4021113941976
2025-07-03,3331.60009765625,1.3650014400482178,2440.730097353277
2025-07-04,3332.5,1.366829752922058,2438.1236894175454
2025-07-07,3332.199951171875,1.3651504516601562,2440.9030866301914
2025-07-08,3307.0,1.3623607158660889,2427.4041092689995
2025-07-09,3311.60009765625,1.3585295677185059,2437.6356439688698
2025-07-10,3317.39990234375,1.3593051433563232,2440.51155000606
2025-07-11,3356.0,1.3579576015472412,2471.3584549150964
2025-07-14,3351.5,1.3493820428848267,2483.7295098687327
2025-07-15,3329.800048828125,1.3428045511245728,2479.7354507321875
2025-07-16,3352.5,1.3393335342407227,2503.110625017356
2025-07-17,3340.10009765625,1.3411099910736084,2490.548963088684
2025-07-18,3353.0,1.3432555198669434,2496.174369216166
2025-07-21,3401.89990234375,1.341597557067871,2535.708181951951
2025-07-22,3439.199951171875,1.348945140838623,2549.54767770153
2025-07-23,3394.10009765625,1.352155327796936,2510.1406827174587
2025-07-24,3371.0,1.3579576015472412,2482.4044551605452
2025-07-25,3342.39990234375,1.345442295074463,2484.2387626581685
